11AM	7-4-2	11/28/2018	4,500.00	277
11AM	0-1-6	11/29/2018	4,500.00	223
11AM	4-8-4	11/30/2018	4,500.00	163
11AM	4-9-0	12/1/2018	4,500.00	110
11AM	5-0-2	12/2/2018	4,500.00	588
11AM	1-3-6	12/3/2018	4,500.00	289
11AM	0-3-9	12/4/2018	4,500.00	177
11AM	0-5-4	12/5/2018	4,500.00	155
11AM	9-4-9	12/6/2018	4,500.00	123
11AM	1-8-4	12/7/2018	4,500.00	266
11AM	6-1-6	12/8/2018	4,500.00	393
11AM	7-2-3	12/9/2018	4,500.00	275
11AM	4-0-0	12/10/2018	4,500.00	126
11AM	7-6-4	12/11/2018	4,500.00	181
11AM	3-2-1	12/12/2018	4,500.00	813
11AM	3-1-8	12/13/2018	4,500.00	565
11AM	3-3-3	12/14/2018	4,500.00	1029
11AM	9-7-2	12/15/2018	4,500.00	229
11AM	4-8-6	12/16/2018	4,500.00	93
11AM	5-4-6	12/17/2018	4,500.00	313
11AM	8-9-7	12/18/2018	4,500.00	387
11AM	0-9-8	12/19/2018	4,500.00	298
11AM	1-1-3	12/20/2018	4,500.00	895
11AM	6-0-9	12/21/2018	4,500.00	209
11AM	4-8-9	12/22/2018	4,500.00	169
11AM	2-6-4	12/23/2018	4,500.00	432
11AM	2-3-0	12/26/2018	4,500.00	520
11AM	6-2-1	12/27/2018	4,500.00	450
11AM	5-9-1	12/28/2018	4,500.00	119
11AM	1-5-7	12/29/2018	4,500.00	380
11AM	8-6-8	12/30/2018	4,500.00	271
4PM	5-9-3	1/2/2018	4,500.00	448
4PM	3-2-4	1/3/2018	4,500.00	785
4PM	7-1-9	1/4/2018	4,500.00	693
4PM	9-3-2	1/5/2018	4,500.00	497
4PM	5-5-6	1/6/2018	4,500.00	647
4PM	2-0-1	1/7/2018	4,500.00	735
4PM	3-2-7	1/8/2018	4,500.00	343
4PM	7-3-3	1/9/2018	4,500.00	510
4PM	1-9-2	1/10/2018	4,500.00	1152
4PM	4-6-1	1/11/2018	4,500.00	311
4PM	4-1-1	1/12/2018	4,500.00	799
4PM	6-2-8	1/13/2018	4,500.00	580
4PM	0-4-2	1/14/2018	4,500.00	200
4PM	9-7-4	1/15/2018	4,500.00	280
4PM	9-9-4	1/16/2018	4,500.00	173
4PM	4-8-8	1/17/2018	4,500.00	379
4PM	6-8-6	1/18/2018	4,500.00	371
4PM	4-1-8	1/19/2018	4,500.00	946
4PM	4-2-4	1/20/2018	4,500.00	381
4PM	5-1-0	1/21/2018	4,500.00	629
4PM	3-3-5	1/22/2018	4,500.00	283
4PM	4-3-4	1/23/2018	4,500.00	538
4PM	3-4-3	1/24/2018	4,500.00	1083
4PM	7-5-7	1/25/2018	4,500.00	611
4PM	2-2-1	1/26/2018	4,500.00	1028
4PM	5-1-7	1/27/2018	4,500.00	810
